E1,E2,E3,E4,E5,Ew,Eh6,Eh7
1,0,0,0,0,0,0,0
0,0,0,0,3,0,0,0
2,0,1,0,0,0,0,0
1,0,0,0,2,0,0,0
0,1,0,0,0,0,0,0
0,0,0,0,3,0,0,0
0,0,0,0,3,0,0,0
2,0,0,0,1,0,0,0
0,0,0,0,2,0,0,0
0,0,0,0,3,0,0,0
0,0,0,1,0,0,0,0
0,0,1,0,0,0,0,0
0,0,0,0,0,1,0,0
0,0,1,0,0,0,0,0
0,0,0,0,0,3,0,0
0,0,0,0,0,1,0,0
0,0,1,0,0,1,0,0
0,0,0,0,0,1,0,0
0,0,1,0,0,0,0,0
0,0,0,0,0,1,0,0
0,0,0,1,0,0,0,0
1,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0
0,0,0,0,0,2,0,0
0,2,0,0,0,0,0,0
0,0,0,0,1,0,0,0
0,0,0,2,0,0,0,0
1,0,0,0,0,0,0,0
2,0,0,0,2,0,0,0
0,0,0,0,3,0,0,0
0,0,0,0,0,3,0,0
0,0,0,2,1,0,0,0
0,1,0,0,0,0,0,0
0,0,0,0,0,2,0,0
0,0,0,0,1,0,0,0
